CMDLINE c:\users\simon\filestotals\venv\scripts\python.exe app\routes.py
MEM 3.277344 1605006492.0695
MEM 3.277344 1605006492.1770
MEM 3.277344 1605006492.2854
MEM 3.277344 1605006492.3934
MEM 3.277344 1605006492.5046
MEM 3.277344 1605006492.6133
MEM 3.277344 1605006492.7235
MEM 3.277344 1605006492.8325
MEM 3.277344 1605006492.9413
MEM 3.277344 1605006493.0501
MEM 3.277344 1605006493.1590
MEM 3.277344 1605006493.2667
MEM 3.277344 1605006493.3764
MEM 3.277344 1605006493.4849
MEM 3.277344 1605006493.5936
MEM 3.277344 1605006493.7036
MEM 3.277344 1605006493.8114
MEM 3.277344 1605006493.9205
MEM 3.277344 1605006494.0277
MEM 3.277344 1605006494.1347
MEM 3.277344 1605006494.2435
MEM 3.277344 1605006494.3525
MEM 3.277344 1605006494.4601
MEM 3.277344 1605006494.5693
MEM 3.277344 1605006494.6783
MEM 3.277344 1605006494.7869
MEM 3.277344 1605006494.8955
MEM 3.277344 1605006495.0059
MEM 3.277344 1605006495.1144
MEM 3.277344 1605006495.2236
MEM 3.277344 1605006495.3322
MEM 3.277344 1605006495.4417
MEM 3.277344 1605006495.5508
MEM 3.277344 1605006495.6599
MEM 3.277344 1605006495.7689
MEM 3.277344 1605006495.8792
MEM 3.277344 1605006495.9903
MEM 3.277344 1605006496.1009
MEM 3.277344 1605006496.2105
MEM 3.277344 1605006496.3192
MEM 3.277344 1605006496.4292
MEM 3.277344 1605006496.5379
MEM 3.277344 1605006496.6459
MEM 3.277344 1605006496.7559
MEM 3.277344 1605006496.8655
MEM 3.277344 1605006496.9736
MEM 3.277344 1605006497.0814
MEM 3.277344 1605006497.1903
MEM 3.277344 1605006497.2988
MEM 3.277344 1605006497.4091
MEM 3.277344 1605006497.5172
MEM 3.277344 1605006497.6275
MEM 3.277344 1605006497.7359
MEM 3.277344 1605006497.8452
MEM 3.277344 1605006497.9536
MEM 3.277344 1605006498.0624
MEM 3.277344 1605006498.1703
MEM 3.277344 1605006498.2785
MEM 3.277344 1605006498.3865
MEM 3.277344 1605006498.4958
MEM 3.277344 1605006498.6046
MEM 3.277344 1605006498.7136
MEM 3.277344 1605006498.8227
MEM 3.277344 1605006498.9306
MEM 3.277344 1605006499.0406
MEM 3.277344 1605006499.1496
MEM 3.277344 1605006499.2586
MEM 3.277344 1605006499.3686
